,year,category,nominee,artist,workers,winner
168,2019,Best Jazz Vocal Album,Thirsty Ghost,Sara Gazarek,,False
169,2019,Best Jazz Vocal Album,Love & Liberation,Jazzmeia Horn,,False
170,2019,Best Jazz Vocal Album,Alone Together,Catherine Russell,,False
171,2019,Best Jazz Vocal Album,Screenplay,Tierney Sutton Band,,False
172,2019,Best Jazz Instrumental Album,Finding Gabriel,Brad Mehldau,,True
173,2019,Best Jazz Instrumental Album,In The Key Of The Universe,Joey DeFrancesco,,False
174,2019,Best Jazz Instrumental Album,The Secret Between The Shadow And The Soul,Branford Marsalis Quartet,,False
175,2019,Best Jazz Instrumental Album,Christian McBride's New Jawn,Christian McBride’s New Jawn,,False
176,2019,Best Jazz Instrumental Album,Come What May,Joshua Redman Quartet,,False
177,2019,Best Large Jazz Ensemble Album,The Omni-American Book Club,Brian Lynch Big Band,,True
178,2019,Best Large Jazz Ensemble Album,Triple Helix,Anat Cohen Tentet,,False
179,2019,Best Large Jazz Ensemble Album,Dancer In Nowhere,Miho Hazama,,False
180,2019,Best Large Jazz Ensemble Album,Hiding Out,Mike Holober & The Gotham Jazz Orchestra,,False
181,2019,Best Large Jazz Ensemble Album,One Day Wonder,Terraza Big Band,,False
182,2019,Best Latin Jazz Album,Antidote,Chick Corea & The Spanish Heart Band,,True
183,2019,Best Latin Jazz Album,Sorte!: Music By John Finbury,"Thalma de Freitas With Vitor Gonçalves, John Patitucci, Chico Pinheiro, Rogerio Boccato & Duduka Da Fonseca",,False
184,2019,Best Latin Jazz Album,Una Noche Con Rubén Blades,Jazz At Lincoln Center Orchestra With Wynton Marsalis Featuring Rubén Blades,,False
185,2019,Best Latin Jazz Album,Carib,David Sánchez,,False
186,2019,Best Latin Jazz Album,Sonero: The Music Of Ismael Rivera,Miguel Zenón,,False
187,2019,Best Gospel Performance/Song,Love Theory,,"Kirk Franklin; Kirk Franklin, songwriter",True
188,2019,Best Gospel Performance/Song,Talkin' 'Bout Jesus,,"Gloria Gaynor Featuring Yolanda Adams; Bryan Fowler, Gloria Gaynor & Chris Stevens, songwriters",False
189,2019,Best Gospel Performance/Song,See The Light,,Travis Greene Featuring Jekalyn Carr,False
190,2019,Best Gospel Performance/Song,Speak The Name,,Koryn Hawthorne Featuring Natalie Grant,False
191,2019,Best Gospel Performance/Song,This Is A Move (Live),,"Tasha Cobbs Leonard; Tony Brown, Brandon Lake, Tasha Cobbs Leonard & Nate Moore, songwriters",False
192,2019,Best Contemporary Christian Music Performance/Song,God Only Knows,,"for KING & COUNTRY & Dolly Parton; Josh Kerr, Jordan Reynolds, Joel Smallbone, Luke Smallbone & Tedd Tjornhom, songwriters",True
193,2019,Best Contemporary Christian Music Performance/Song,Only Jesus,,"Casting Crowns; Mark Hall, Bernie Herms & Matthew West, songwriters",False
194,2019,Best Contemporary Christian Music Performance/Song,Haven't Seen It Yet,,"Danny Gokey; Danny Gokey, Ethan Hulse & Colby Wedgeworth, songwriters",False
195,2019,Best Contemporary Christian Music Performance/Song,God's Not Done With You (Single Version),,Tauren Wells,False
196,2019,Best Contemporary Christian Music Performance/Song,Rescue Story,,"Zach Williams; Ethan Hulse, Andrew Ripp, Jonathan Smith & Zach Williams, songwriters",False
197,2019,Best Gospel Album,Long Live Love,Kirk Franklin,,True
198,2019,Best Gospel Album,Goshen,Donald Lawrence Presents The Tri -City Singers,,False
199,2019,Best Gospel Album,Tunnel Vision,Gene Moore,,False
200,2019,Best Gospel Album,Settle Here,William Murphy,,False
201,2019,Best Gospel Album,Something's Happening! A Christmas Album,CeCe Winans,,False
202,2019,Best Contemporary Christian Music Album,Burn The Ships,for KING & COUNTRY,,True
203,2019,Best Contemporary Christian Music Album,I Know A Ghost,Crowder,,False
204,2019,Best Contemporary Christian Music Album,Haven't Seen It Yet,Danny Gokey,,False
205,2019,Best Contemporary Christian Music Album,The Elements,TobyMac,,False
206,2019,Best Contemporary Christian Music Album,Holy Roar,Chris Tomlin,,False
207,2019,Best Roots Gospel Album,Testimony,Gloria Gaynor,,True
208,2019,Best Roots Gospel Album,Deeper Roots: Where The Bluegrass Grows,Steven Curtis Chapman,,False
209,2019,Best Roots Gospel Album,Deeper Oceans,Joseph Habedank,,False
210,2019,Best Roots Gospel Album,His Name Is Jesus,Tim Menzies,,False
211,2019,Best Roots Gospel Album,"Gonna Sing, Gonna Shout",(Various Artists),"Jerry Salley, Producer",False
212,2019,Best Latin Pop Album,#Eldisco,Alejandro Sanz,,True
213,2019,Best Latin Pop Album,Vida,Luis Fonsi,,False
214,2019,Best Latin Pop Album,11:11,Maluma,,False
215,2019,Best Latin Pop Album,Montaner,Ricardo Montaner,,False
216,2019,Best Latin Pop Album,Fantasia,Sebastian Yatra,,False
217,2019,"Best Latin Rock, Urban or Alternative Album",El Mal Querer,ROSALÍA,,True
218,2019,"Best Latin Rock, Urban or Alternative Album",X 100Pre,Bad Bunny,,False
219,2019,"Best Latin Rock, Urban or Alternative Album",Oasis,J Balvin & Bad Bunny,,False
220,2019,"Best Latin Rock, Urban or Alternative Album",Indestructible,Flor De Toloache,,False
221,2019,"Best Latin Rock, Urban or Alternative Album",Almadura,iLe,,False
222,2019,Best Regional Mexican Music Album (Including Tejano),De Ayer Para Siempre,Mariachi Los Camperos,,True
223,2019,Best Regional Mexican Music Album (Including Tejano),Caminando,Joss Favela,,False
224,2019,Best Regional Mexican Music Album (Including Tejano),Percepción,Intocable,,False
225,2019,Best Regional Mexican Music Album (Including Tejano),Poco A Poco,La Energia Norteña,,False
226,2019,Best Regional Mexican Music Album (Including Tejano),20 Aniversario,Mariachi Divas De Cindy Shea,,False
227,2019,Best Tropical Latin Album,Opus,Marc Anthony,,True
228,2019,Best Tropical Latin Album,A Journey Through Cuban Music,Aymée Nuviola,,False
229,2019,Best Tropical Latin Album,Tiempo Al Tiempo,Luis Enrique + C4 Trio,,False
230,2019,Best Tropical Latin Album,Candela,Vicente García,,False
231,2019,Best Tropical Latin Album,Literal,Juan Luis Guerra 4.40,,False
232,2019,Best American Roots Performance,Saint Honesty,Sara Bareilles,,True
233,2019,Best American Roots Performance,Father Mountain,Calexico And Iron & Wine,,False
234,2019,Best American Roots Performance,I'm On My Way,Rhiannon Giddens with Francesco Turrisi,,False
235,2019,Best American Roots Performance,Call My Name,I'm With Her,,False
236,2019,Best American Roots Performance,Faraway Look,Yola,,False
237,2019,Best American Roots Song,Call My Name,,"Sarah Jarosz, Aoife O'Donovan & Sara Watkins, songwriters (I'm With Her)",True
238,2019,Best American Roots Song,Black Myself,,"Amythyst Kiah, songwriter (Our Native Daughters)",False
239,2019,Best American Roots Song,Crossing To Jerusalem,,"Rosanne Cash & John Leventhal, songwriters (Rosanne Cash)",False
240,2019,Best American Roots Song,Faraway Look,,"Dan Auerbach, Pat McLaughlin & Yola, songwriters (Yola)",False
241,2019,Best American Roots Song,I Don't Wanna Ride The Rails No More,,"Vince Gill, songwriter (Vince Gill)",False
242,2019,Best Americana Album,Oklahoma,Keb' Mo',,True
243,2019,Best Americana Album,Years To Burn,Calexico And Iron & Wine,,False
244,2019,Best Americana Album,Who Are You Now,Madison Cunningham,,False
245,2019,Best Americana Album,Tales Of America,J.S. Ondara,,False
246,2019,Best Americana Album,Walk Through Fire,Yola,,False
247,2019,Best Bluegrass Album,Tall Fiddler,Michael Cleveland,,True
248,2019,Best Bluegrass Album,"Live In Prague, Czech Republic",Doyle Lawson & Quicksilver,,False
249,2019,Best Bluegrass Album,"Toil, Tears & Trouble",The Po’ Ramblin’ Boys,,False
250,2019,Best Bluegrass Album,Royal Traveller,Missy Raines,,False
251,2019,Best Bluegrass Album,If You Can't Stand The Heat,Frank Solivan & Dirty Kitchen,,False
252,2019,Best Traditional Blues Album,"Tall, Dark, & Handsome",Delbert McClinton & Self-Made Men + Dana,,True
253,2019,Best Traditional Blues Album,Kingfish,"Christone ""Kingfish"" Ingram",,False
254,2019,Best Traditional Blues Album,Sitting On Top Of The Blues,Bobby Rush,,False
255,2019,Best Traditional Blues Album,"Baby, Please Come Home",Jimmie Vaughan,,False
